,date,count, value
0,2013-08-06,1310,15518.74
1,2013-12-10,2752,15973.13
2,2015-04-08,1906,17902.51
3,2013-08-07,2100,15470.67
4,2013-12-11,1299,15843.53
5,2015-04-09,2345,17958.73
6,2013-08-08,3024,15498.32
7,2013-12-12,1242,15739.43
8,2013-08-09,1624,15425.51
9,2015-03-02,1161,18288.63
10,2011-03-10,2385,11984.61
11,2013-07-01,2989,14974.96
12,2015-03-03,2045,18203.37
13,2011-03-11,2169,12044.4
14,2013-07-02,1529,14932.41
15,2015-03-04,2092,18096.9
16,2015-06-10,1448,18000.4
17,2013-07-03,2383,14988.37
18,2015-03-05,3039,18135.72
19,2015-06-11,1468,18039.37
20,2012-01-10,1789,12462.47
21,2015-03-06,1409,17856.78
22,2015-06-12,1213,17898.84
23,2012-01-11,1844,12449.45
24,2013-07-05,1565,15135.84
25,2012-01-12,3526,12471.02
26,2013-11-11,1147,15783.1
27,2015-03-09,1483,17995.72
28,2013-07-08,1723,15224.69
29,2013-11-12,1553,15750.67
30,2013-07-09,1872,15300.34
31,2015-02-02,2053,17361.04
32,2011-02-10,1166,12229.29
33,2015-02-03,1102,17666.4
34,2016-12-01,1536,19191.93
35,2011-02-11,1376,12273.26
36,2015-02-04,1394,17673.02
37,2016-12-02,1259,19170.42
38,2013-06-03,2680,15254.03
39,2015-02-05,1214,17884.88
40,2015-05-11,2190,18105.17
41,2013-06-04,1265,15177.54
42,2013-09-10,1900,15191.06
43,2015-02-06,1274,17824.29
44,2015-05-12,1715,18068.23
45,2013-06-05,1249,14960.59
46,2013-09-11,1435,15326.6
47,2016-12-05,1910,19216.24
48,2013-06-06,1618,15040.62
49,2013-09-12,2037,15300.64
50,2013-10-10,2059,15126.07
51,2016-12-06,1497,19251.78
52,2013-06-07,4240,15248.12
53,2013-10-11,2287,15237.11
54,2015-02-09,1772,17729.21
55,2016-12-07,1530,19549.62
56,2016-12-08,338,19614.81
57,2015-01-02,1339,17832.99
58,2016-12-09,687,19756.85
59,2011-01-10,1635,11637.45
60,2013-05-01,1370,14700.95
61,2016-11-01,1320,18037.1
62,2010-12-01,3356,11255.78
63,2011-01-11,2515,11671.88
64,2013-05-02,1226,14831.58
65,2015-04-10,2214,18057.65
66,2016-11-02,1181,17959.64
67,2010-12-02,1630,11362.41
68,2011-01-12,2099,11755.44
69,2013-05-03,1292,14973.96
70,2015-01-05,1915,17501.65
71,2016-11-03,1492,17930.67
72,2009-12-01,1322,10471.58
73,2010-12-03,1737,11382.09
74,2015-01-06,2948,17371.64
75,2016-11-04,1324,17888.28
76,2009-12-02,2032,10452.68
77,2015-01-07,1823,17584.52
78,2009-12-03,1806,10366.15
79,2013-05-06,1913,14968.89
80,2013-08-12,1221,15419.68
81,2015-01-08,1791,17907.87
82,2009-12-04,1114,10388.9
83,2010-12-06,1681,11362.19
84,2013-05-07,1845,15056.2
85,2015-01-09,2316,17737.37
86,2016-11-07,1239,18259.6
87,2010-12-07,1615,11359.16
88,2013-05-08,3414,15105.12
89,2016-09-01,1825,18419.3
90,2016-11-08,1356,18332.74
91,2010-12-08,1711,11372.48
92,2013-05-09,2724,15082.62
93,2016-09-02,1210,18491.96
94,2016-11-09,1767,18589.69
95,2009-12-07,1240,10390.11
96,2010-12-09,1457,11370.06
97,2013-04-01,1728,14572.85
98,2009-12-08,1534,10285.97
99,2010-11-01,1413,11124.62
100,2013-04-02,1119,14662.01
101,2015-03-10,2296,17662.94
102,2009-12-09,2890,10337.05
103,2010-11-02,1309,11188.72
104,2013-04-03,1121,14550.35
105,2015-03-11,1663,17635.39
106,2016-10-03,2110,18253.85
107,2010-11-03,1777,11215.13
108,2013-04-04,1340,14606.11
109,2013-07-10,1962,15291.66
110,2015-03-12,1263,17895.22
111,2016-09-06,1549,18538.12
112,2016-10-04,1787,18168.45
113,2009-11-02,1492,9789.44
114,2010-11-04,2441,11434.84
115,2013-04-05,1372,14565.25
116,2013-07-11,1438,15460.92
117,2016-09-07,1870,18526.14
118,2016-10-05,1425,18281.03
119,2009-11-03,1728,9771.91
120,2010-11-05,2247,11444.08
121,2013-07-12,2603,15464.3
122,2016-09-08,1443,18479.91
123,2016-10-06,1486,18268.5
124,2009-11-04,1289,9802.14
125,2016-09-09,1760,18085.45
126,2016-10-07,1292,18240.49
127,2009-11-05,1410,10005.96
128,2013-04-08,1279,14613.48
129,2016-08-01,2364,18404.51
130,2009-11-06,1442,10023.42
131,2010-09-01,5146,10269.47
132,2010-11-08,2232,11406.84
133,2013-04-09,1459,14673.46
134,2016-08-02,1257,18313.77
135,2008-12-01,2166,8149.09
136,2010-09-02,4825,10320.1
137,2010-11-09,2253,11346.75
138,2013-03-01,1293,14089.66
139,2016-08-03,1371,18355.0
140,2008-12-02,1204,8419.09
141,2009-09-01,1594,9310.6
142,2010-09-03,5814,10447.93
143,2010-10-01,2649,10829.68
144,2015-02-10,1476,17868.76
145,2016-08-04,1470,18352.05
146,2008-12-03,1533,8591.69
147,2009-09-02,1239,9280.67
148,2009-11-09,1427,10226.94
149,2015-02-11,1230,17862.14
150,2016-08-05,1261,18543.53
151,2008-12-04,1783,8376.24
152,2009-09-03,1270,9344.61
153,2009-10-01,1246,9509.28
154,2013-03-04,1521,14127.82
155,2013-06-10,3896,15238.59
156,2015-02-12,1988,17972.38
157,2008-12-05,1285,8635.42
158,2009-09-04,1481,9441.27
159,2009-10-02,1775,9487.67
160,2010-10-04,3286,10751.27
161,2013-03-05,1490,14253.77
162,2013-06-11,1912,15122.02
