Zip,Median,Mean,Pop,zipcode,count
0,10031,31526,51413,59450,10031,11772
1,11231,73075,95031,33174,11231,5120
2,10032,29536,40902,54744,10032,5875
3,11232,34808,45834,22177,11232,2712
4,11432,50291,64694,54915,11432,6342
5,10033,36463,53967,59049,10033,5553
6,11233,35423,45327,63541,11233,15298
7,11433,41780,54771,28391,11433,5736
8,10034,37866,46838,37785,10034,5078
9,11234,67953,77077,81033,11234,9614
10,11434,51641,59039,52603,11434,7670
11,10035,23302,37222,31078,10035,11113
12,11235,44730,60543,79197,11235,7045
13,11435,44722,52870,47317,11435,5286
14,10036,62393,89879,18660,10036,9664
15,11236,59568,69801,94098,11236,11234
16,11436,62297,69595,18291,11436,2237
17,10037,40080,52945,16994,10037,4933
18,11237,35355,43844,48837,11237,5026
19,10038,55937,89760,15435,10038,2912
20,11238,61469,79249,49085,11238,5867
21,10039,28692,37075,21738,10039,3159
22,11239,24882,33975,14621,11239,2475
23,10040,37107,48180,46585,10040,3120
24,11040,98762,116894,39784,11040,92
25,10044,102486,117866,9519,10044,1113
26,10451,22970,30637,37570,10451,13438
27,10452,27673,35201,71254,10452,11249
28,10453,26324,35179,77913,10453,12778
29,10454,18024,28294,30078,10454,8178
30,10455,22829,33951,37013,10455,6669
31,10456,21955,30837,75975,10456,14918
32,10457,25474,34688,68492,10457,15750
33,10458,25642,34873,77840,10458,11689
34,10459,22843,33744,38847,10459,9563
35,10460,23645,33568,53752,10460,10454
36,8861,47619,58843,50026,8861,3
37,10461,47716,58037,48081,10461,5875
38,10462,46085,51310,71130,10462,8263
39,10463,52302,65039,62456,10463,6406
40,10464,1520,1673,109,10464,479
41,10065,108155,191674,31500,10065,2206
42,10465,61446,73646,41282,10465,4192
43,10466,48470,57368,68662,10466,6719
44,10467,35375,45203,94492,10467,13042
45,10468,28765,38638,76073,10468,11991
46,10069,54236,108784,1843,10069,288
47,10469,57183,66926,63256,10469,8200
48,10470,53208,65712,15778,10470,2238
49,10471,56910,79167,18127,10471,1720
50,10472,32632,42815,64864,10472,11947
51,10473,36132,49073,52624,10473,10037
52,10474,24244,31476,11365,10474,5501
53,10075,112268,188422,25187,10075,1483
54,10475,47895,57491,38149,10475,3566
55,10280,98938,138990,4298,10280,339
56,11691,35645,51204,54005,11691,6323
57,11692,42385,53664,15850,11692,2229
58,11693,54874,65333,11120,11693,1499
59,11694,75157,89575,19299,11694,1485
60,11697,82291,101500,4206,11697,145
61,10301,56776,75010,38618,10301,6165
62,11101,39955,51519,22556,11101,5308
63,10302,59919,70774,16580,10302,3058
64,11102,48399,61245,35943,11102,2960
65,10303,54758,66353,22842,10303,3320
66,11103,52495,66421,44730,11103,3665
67,10304,46260,65695,36662,10304,6331
68,11104,50944,61198,29376,11104,2624
69,10305,58938,75469,37014,10305,4202
70,10705,36094,48376,27216,10705,5
71,11105,54570,68395,42375,11105,2823
72,10306,75212,91446,54812,10306,4668
73,11106,44031,56437,40963,11106,3191
74,10307,92781,110791,11662,10307,1148
75,10308,75668,85726,23972,10308,2271
76,10309,84917,98956,27255,10309,2590
77,11109,117750,151032,843,11109,3
78,11509,106773,149930,2852,11509,26
79,10110,36906,79288,33,10110,22
80,10310,65263,77596,22793,10310,3120
81,10312,84524,99002,55963,10312,3748
82,10314,78414,90428,85260,10314,7847
83,10128,105187,180473,59434,10128,3299
84,11530,127418,187098,26753,11530,41
85,10550,42807,55141,37904,10550,418
