Zip,Median,Mean,Pop,zipcode,count
0,10031,"31,526","51,413","59,450",10031,11772
1,11231,"73,075","95,031","33,174",11231,5120
2,10032,"29,536","40,902","54,744",10032,5875
3,11232,"34,808","45,834","22,177",11232,2712
4,11432,"50,291","64,694","54,915",11432,6342
5,10033,"36,463","53,967","59,049",10033,5553
6,11233,"35,423","45,327","63,541",11233,15298
7,11433,"41,780","54,771","28,391",11433,5736
8,10034,"37,866","46,838","37,785",10034,5078
9,11234,"67,953","77,077","81,033",11234,9614
10,11434,"51,641","59,039","52,603",11434,7670
11,10035,"23,302","37,222","31,078",10035,11113
12,11235,"44,730","60,543","79,197",11235,7045
13,11435,"44,722","52,870","47,317",11435,5286
14,10036,"62,393","89,879","18,660",10036,9664
15,11236,"59,568","69,801","94,098",11236,11234
16,11436,"62,297","69,595","18,291",11436,2237
17,10037,"40,080","52,945","16,994",10037,4933
18,11237,"35,355","43,844","48,837",11237,5026
19,10038,"55,937","89,760","15,435",10038,2912
20,11238,"61,469","79,249","49,085",11238,5867
21,10039,"28,692","37,075","21,738",10039,3159
22,11239,"24,882","33,975","14,621",11239,2475
23,10040,"37,107","48,180","46,585",10040,3120
24,11040,"98,762","1,16,894","39,784",11040,92
25,10044,"1,02,486","1,17,866","9,519",10044,1113
26,10451,"22,970","30,637","37,570",10451,13438
27,10452,"27,673","35,201","71,254",10452,11249
28,10453,"26,324","35,179","77,913",10453,12778
29,10454,"18,024","28,294","30,078",10454,8178
30,10455,"22,829","33,951","37,013",10455,6669
31,10456,"21,955","30,837","75,975",10456,14918
32,10457,"25,474","34,688","68,492",10457,15750
33,10458,"25,642","34,873","77,840",10458,11689
34,10459,"22,843","33,744","38,847",10459,9563
35,10460,"23,645","33,568","53,752",10460,10454
36,8861,"47,619","58,843","50,026",8861,3
37,10461,"47,716","58,037","48,081",10461,5875
38,10462,"46,085","51,310","71,130",10462,8263
39,10463,"52,302","65,039","62,456",10463,6406
40,10464,"1,520","1,673",109,10464,479
41,10065,"1,08,155","1,91,674","31,500",10065,2206
42,10465,"61,446","73,646","41,282",10465,4192
43,10466,"48,470","57,368","68,662",10466,6719
44,10467,"35,375","45,203","94,492",10467,13042
45,10468,"28,765","38,638","76,073",10468,11991
46,10069,"54,236","1,08,784","1,843",10069,288
47,10469,"57,183","66,926","63,256",10469,8200
48,10470,"53,208","65,712","15,778",10470,2238
49,10471,"56,910","79,167","18,127",10471,1720
50,10472,"32,632","42,815","64,864",10472,11947
51,10473,"36,132","49,073","52,624",10473,10037
52,10474,"24,244","31,476","11,365",10474,5501
53,10075,"1,12,268","1,88,422","25,187",10075,1483
54,10475,"47,895","57,491","38,149",10475,3566
55,10280,"98,938","1,38,990","4,298",10280,339
56,11691,"35,645","51,204","54,005",11691,6323
57,11692,"42,385","53,664","15,850",11692,2229
58,11693,"54,874","65,333","11,120",11693,1499
59,11694,"75,157","89,575","19,299",11694,1485
60,11697,"82,291","1,01,500","4,206",11697,145
61,10301,"56,776","75,010","38,618",10301,6165
62,11101,"39,955","51,519","22,556",11101,5308
63,10302,"59,919","70,774","16,580",10302,3058
64,11102,"48,399","61,245","35,943",11102,2960
65,10303,"54,758","66,353","22,842",10303,3320
66,11103,"52,495","66,421","44,730",11103,3665
67,10304,"46,260","65,695","36,662",10304,6331
68,11104,"50,944","61,198","29,376",11104,2624
69,10305,"58,938","75,469","37,014",10305,4202
